station,lat,lon
Aleksandrów Kujawski,52.8758646,18.6963912
Andrychów,49.8557919,19.3533583
Andrychów Górnica,49.858467,19.323956
Andrzejówka,49.3406059,20.8209928
Anieliny,53.1291537,17.4865518
Antonin,51.5124976,17.8611802
Augustów,53.8525409,23.0264508
Augustów Port,53.8624093,23.0039831
Augustówka,51.9870323,21.5138195
Babi Dół,54.3015617,18.2886228
Babiak,52.353535,18.6701836
Babica,49.935123,21.9017425
Babica Kolonia,49.9338031,21.8699571
Baborówko,52.580327,16.6318274
Baby,51.5369264,19.7167575
Baciuty,53.0469938,22.9834305
Bajtkowo,53.7371903,22.2400403
Balin,50.1793134,19.3829056
Balinka,53.7681765,23.1606775
Baranówka,50.1465778,20.0954104
Barchów,52.5177099,21.6476805
Barcice,49.5265531,20.6486496
Barczewo,53.8443104,20.6996293
Barcząca,52.156838,21.6262176
Bardo Przyłęk,50.509529,16.7580075
Bardo Śląskie,50.5048571,16.7337841
Bartnica,50.6419372,16.4079523
Bartodzieje,51.5251408,21.1780494
Bartąg,53.7131819,20.4472968
Barwałd Górny,49.8647452,19.6211072
Barwałd Średni,49.8693388,19.602763
Barłogi,52.2158883,18.7678751
Basznia,50.1786086,23.2490526
Basznia Dolna,50.1899476,23.2072411
Bednary,52.1055142,20.0647391
Bedoń,51.7319956,19.6423494
Berejów,51.5141519,22.7213328
Berezów,51.0234048,20.8357603
Besko,49.5905498,21.9562237
Bełsznica,49.9727718,18.3726339
Bełżec,50.3768989,23.4495326
Bełżec Drugi,50.3807697,23.4036669
Biadoliny,50.0037878,20.73508
Biała,51.2631352,18.4238972
Biała Piska,53.6149089,22.0652772
Biała Podlaska,52.0202612,23.1308918
Białki Siedleckie,52.1286792,22.3093689
Białogard,54.0099878,15.9776516
Białośliwie,53.0977578,17.124527
Białuń,53.6152375,14.8410252
Biały Dunajec,49.3762155,20.0071846
Biały Kościół,50.7283844,17.0299699
Białystok,53.1336381,23.1353831
Białystok Bacieczki,53.1505228,23.0719921
Białystok Fabryczny,53.1405223,23.1841933
Białystok Nowe Miasto,53.1063887,23.114035
Białystok Stadion,53.0978743,23.1293836
Białystok Starosielce,53.1211871,23.0867818
Białystok Wiadukt,53.1108631,23.0948712
Biecz,49.7328492,21.2638564
Bielany Wrocławskie,51.0361294,16.9757672
Bielawa Centralna,50.6928069,16.620765
Bielawa Zachodnia,50.6858735,16.606717
Bielin,52.8226849,14.4666488
Bielsk Podlaski,52.7613758,23.1881475
Bielsko-Biała Główna,49.8298605,19.0453155
Bielsko-Biała Komorowice,49.8614515,19.0358225
Bielsko-Biała Leszczyny,49.7970632,19.060798
Bielsko-Biała Lipnik,49.8140102,19.04964
Bielsko-Biała Mikuszowice,49.7824241,19.0746034
Bielsko-Biała Północ,49.8415432,19.0415175
Bielsko-Biała Wschód,49.8346579,19.0585768
Bieniów,51.7160432,15.1792352
Bierawa,50.2938511,18.2566097
Bierutów,51.1284443,17.5461214
Bierzwnik,53.0240587,15.658121
Biesal,53.7204054,20.1943038
Biniew,51.738947,17.7924013
Biskupice,51.1605614,22.9474752
Biskupice Oławskie,50.9939882,17.5155391
Biskupice Wielkopolskie,52.4668217,17.1685791
Biskupice koło Kluczborka,51.0711546,18.2102992
Biskupiec Pomorski,53.4894931,19.3893071
Blachownia,50.7736113,18.9686386
Blizna,53.9064123,23.014965
Bliżyn,51.1104398,20.7572886
Bobowa,49.7167724,20.9576528
Bobowa-Miasto,49.7081911,20.9391125
Bobry,51.0287211,19.4048156
Bobrówka,50.049699,22.8592043
Bochnia,49.9772876,20.4315085
Boczów,52.3267469,14.9462366
Bogaczewo,54.1001205,19.5732271
Bogaczów,51.8439701,15.2679419
Bogdaniec,52.6892806,15.0792115
Bogdanowo,52.6278976,16.818086
Bogoniowice Ciężkowice,49.7984243,20.9765428
Boguchwała,49.9842936,21.9345302
Bogumiłowice,50.0075114,20.872677
Boguszewo,53.4220427,19.0007271
Boguszów-Gorce,50.7504075,16.2016328
Boguszów-Gorce Wschód,50.7480265,16.221964
Boguszów-Gorce Zachód,50.7623624,16.1672666
Bohumin,49.9010069,18.3592963
Bohumin Vrbice,49.8817503,18.3228179
Bojanowo,51.7006769,16.7440004
Bojary,53.0277081,22.9497808
Boksycka,50.9501439,21.3222443
Bolechowo,52.5394713,16.9792724
Boleszkowice,52.7371271,14.5184943
Bolesławice Świdnickie,50.8876906,16.4646272
Bolesławiec,51.2660854,15.5695874
Boreczek,50.8789262,17.02458
Borki-Kosy,52.0890113,22.3583652
Borkowice,50.9323098,18.1564372
Borkowo,54.3333364,18.3334216
Borowa Oleśnicka,51.1841096,17.2760947
Borowiki,52.4820986,23.2152677
Borowina,51.8250173,22.2702606
Borsukówka,53.2273271,22.9309509
Borszewice,51.6097491,19.035664
Borucice,50.9819348,17.55677
Boża Wola,52.189889,20.5268713
Bożacin,51.7324105,17.4339282
Bożepole Wielkie,54.5688524,17.9677613
Bratków,51.4553655,20.1149966
Bratoszewice,51.9384977,19.6528059
Brochocin Trzebnicki,51.2760267,17.0941302
Brodnica,53.2636743,19.4059191
Brody Iłżeckie,51.0215143,21.2002986
Brody Warszawskie,52.51374,20.748048
Brokęcino,53.5624314,16.8176763
Bronów,51.7944961,17.7743076
Brusy,53.8823039,17.7279754
Brwinów,52.1415984,20.718095
Brzask,51.0972299,20.8032124
Brzeg,50.8529011,17.4708931
Brzeg Dolny,51.2668902,16.7249974
Brzeg Głogowski,51.6909555,15.9184746
Brzesko Okocim,49.986778,20.6089461
Brzezie,52.6963658,18.9647868
Brzezinka Średzka,51.2197167,16.8368026
Brzeziny,50.7758319,20.5669487
Brzeźnica Bychawska,51.528971,22.7425991
Brzoza Bydgoska,53.027281,18.0205697
Brzozowica,51.9537128,22.6074926
Buchałów,51.9168131,15.3624072
Budachów,52.1532232,15.0812268
Budki Nowe,52.2444404,18.5634475
Budy Głogowskie,50.1681907,21.9181389
Budziszowice,50.522853,17.5333705
Budzyń,52.8936015,16.9661989
Bujaki,53.4794352,20.3759889
Buk,52.3434755,16.5206784
Bukowa,50.8593531,20.2010092
Bukowice Trzebnickie,51.3995076,17.368541
Bukowina Sycowska,51.3881714,17.5832169
Bukowno,50.2639287,19.4588894
Bukowno Przymiarki,50.275379,19.4090502
Bukowo,50.8961762,18.1067976
Bulowice,49.8762084,19.2898141
Bursztynowo,53.4013918,19.0699968
Busko-Zdrój,50.4619429,20.6853416
Byczyna Kluczborska,51.1137155,18.1998832
Bydgoszcz Akademia,53.1408643,18.1376313
Bydgoszcz Bielawy,53.1318249,18.0532565
Bydgoszcz Brdyujście,53.1334401,18.1109012
Bydgoszcz Błonie,53.1183445,17.9516345
Bydgoszcz Fordon,53.1464952,18.1578364
Bydgoszcz Główna,53.1352905,17.991601
Bydgoszcz Leśna,53.1438546,18.0318251
Bydgoszcz Osowa Góra,53.1476317,17.9135468
Bydgoszcz Wschód,53.1278962,18.0838582
Bydgoszcz Zachód,53.1360746,17.9488566
Bydgoszcz Łęgnowo,53.1071543,18.1126399
Bystra Podhalańska,49.6589124,19.7869805
Bystrzyca Kłodzka,50.2968844,16.654958
Bystrzyca Kłodzka Przedmieście,50.2856474,16.6470179
Bystrzyca koło Lublina,51.3484549,22.637658
Bytnica,52.1314973,15.147861
Bytom,50.3428344,18.9121893
Bytom Karb,50.3517998,18.8820999
Bytom Odrzański,51.726452,15.8211407
Bytom Północny,50.3779658,18.8805036
Bąków,50.9561237,18.3145752
Będziemyśl,50.0665645,21.7739017
Będzin,50.3089738,19.14141
