NAMN2,Geo Point,Geo Shape
Małomice,51.549702999999894,15.4468769999998
Milicz,51.5259554999998,17.2953279999998
Pogwizdów,49.8070009999998,18.5966999999998
Olesno Śląskie,50.8820264999998,18.42511
Czastary,51.2744234999998,18.3338759999998
Grębocice,51.5960259999998,16.181880999999798
Łobez,53.6352964999998,15.6264819999998
Strzegom,50.9741054999998,16.3587984999998
Paweł Wielki,49.66891499999989,19.3796174999998
Szczecin Główny,53.418601499999895,14.5498154999998
Kotuń,52.1757539999998,22.0662699999998
Staszów,50.55204549999989,21.1584584999998
Halinów,52.2227334999998,21.3515899999998
Ozimek,50.6700524999999,18.2065929999998
Boronów,50.6670289999998,18.9002064999998
Suwałki,54.1060344999998,22.94395
Kowalew,51.8915824999998,17.734416999999798
Damasławek,52.842581499999895,17.4971499999998
Wołomin,52.3462359999998,21.2375799999998
Kalisz,51.7415449999998,18.0682384999998
Mosty,53.5763849999998,14.943207499999799
Żyrardów,52.0213469999998,20.4954079999998
Maków,51.9419429999998,20.0474344999998
Bobowa,49.7158809999999,20.9567254999998
Włocławek,52.6672804999998,19.0400284999998
Opalenica,52.3103619999998,16.4048039999998
Brzozowiec,52.6499994999998,15.3774619999998
Lipusz,54.0963519999998,17.7804174999998
Jastarnia,54.6996789999998,18.6805474999998
Międzyrzec Podlaski,51.9763354999998,22.7904994999998
Olza,49.9571979999998,18.3309039999998
Ciechanowice,50.8782979999998,15.9167364999998
Brzozowica,51.953794499999894,22.621115999999798
Grzybowa Góra,51.1133904999998,20.9664049999998
Żarów,50.939078499999894,16.4918329999998
Wasilków,53.1991214999998,23.1772599999998
Siedlęcin,50.9444519999998,15.6889009999998
Bochnia,49.9776204999998,20.4381694999998
Wodzisław Śląski,50.0052659999998,18.4755619999998
Jastarnia,54.7088059999998,18.6528754999998
Częstochowa,50.809012499999895,19.1211474999998
Horyniec Zdrój,50.1942554999999,23.3541479999998
Bażanowice,49.7342099999999,18.6971769999998
Czernica,51.0088214999998,16.2269134999998
Mikołów,50.17141649999989,18.8968034999998
Mieszkowice,52.781566999999896,14.4860639999998
Rokietnica,52.5147219999998,16.7490509999998
Bełsznica,49.9732364999998,18.3730354999998
Lipa,50.6933894999998,22.0677459999998
Kamieniec Ząbkowicki,50.5365059999998,16.9005259999998
Krosno,49.6932154999998,21.7507754999998
Studzieniec,54.20476049999989,21.0593974999998
Czerwieńsk,52.0142664999999,15.4160484999998
Bystrzyca Kłodzka,50.2950569999998,16.6535624999998
Zator,50.0024564999998,19.4272764999998
Boguszów Gorce Wschód,50.7513689999998,16.1982984999998
Nałęczów Wąskotorowy,51.3183259999998,22.212881999999798
Brzeźnica,49.9668814999998,19.6296254999998
Stary Sącz,49.5595229999998,20.6429539999998
Zgorzelec,51.1406464999998,15.0094459999998
Dobrzyń Wielki,50.7701519999999,17.8601059999998
Grębów,50.603646999999896,21.8362479999998
Poniec,51.7616539999998,16.8068344999998
Człuchów,53.6584224999998,17.3720439999998
Woźniki,49.9378639999999,19.4810509999998
Węgierska Górka,49.6179849999998,19.1477024999998
Miasteczko Krajeńskie,53.092502999999894,17.0176944999998
Nowa Wieś Wielka,52.968394999999894,18.0961934999998
Łęczyca,52.0493779999998,19.1932769999998
Wejherowo,54.6063249999998,18.2236824999998
Kobyłka,52.3348294999998,21.2114209999998
Ustrzyki Dolne,49.428856999999894,22.5975709999998
Krotoszyn,51.7016124999998,17.4260994999998
Ostrowiec Świętokrzyski,50.9337234999998,21.3781539999998
Wolin,53.8491259999998,14.6029054999998
Świętajno,53.5628749999998,21.2297579999998
Pieńsk,51.2453369999998,15.0474089999998
Spychowo,53.5906614999998,21.3538879999998
Kluczbork,50.9708489999998,18.2007929999998
Jedlina,50.7094564999998,16.3453254999998
Grzęska,50.080133499999796,22.4508464999998
Pruszcz Pomorski,53.3335039999998,18.1970234999998
Bukowno,50.2643164999998,19.4553644999998
Czyżew,52.8008899999998,22.3454894999998
Wielowieś,50.6216184999998,21.7585279999998
Parysów,51.9592729999999,21.6784819999998
Mława,53.10343699999989,20.3661954999998
Łuków,51.94196099999989,22.3881724999998
Książki,53.3286194999998,19.0660899999998
Stare Pole,54.0532194999998,19.2061929999998
Mysłowice,50.2389029999998,19.1409759999998
Białogard,54.0126814999998,15.9777349999998
Jędrzejów,50.6096069999998,20.3014444999998
Bydgoszcz Główna,53.1371019999998,17.9963869999998
Tczew,54.0980904999998,18.7883254999998
Pawłowice,51.8189619999998,16.7594849999998
Tuplice,51.6721964999998,14.8348604999998
Baranów Sandomierski,50.4581849999998,21.5392539999998
Munina,49.9879494999998,22.7219904999998
Gozdowo,52.7302154999998,19.6952919999998
Racławice,50.5024169999998,22.1615724999998
Radzyń Podlaski,51.8270999999998,22.6688214999998
Olkusz,50.2735189999998,19.5760429999998
Raba Niżna,49.6342744999998,20.0216029999998
Legionowo,52.405612999999796,20.9373659999998
Choszczno,53.1638389999998,15.4057574999998
Sławków,50.2956044999999,19.3735269999998
Milejów,51.355574999999895,19.6755879999998
Sobótka,50.9038649999999,16.7436554999998
Kadłub,50.6021414999998,18.2812404999998
Lubin,51.3940929999998,16.1931334999998
Sucha Beskidzka,49.7400994999998,19.5793269999998
Gierałtów Wykroty,51.21439649999989,15.2857469999998
Marczów,51.0490739999999,15.6663894999998
Szepietowo,52.8419599999998,22.4606219999998
Tarchały Wielkie,51.5864454999999,17.6990229999998
Biłgoraj,50.5507264999998,22.7284944999998
Brwinów,52.1424934999998,20.719678499999798
Kleszczele,52.5606849999998,23.3299559999998
Wolbrom,50.3762954999999,19.7718859999998
Jedlina Zdrój,50.725303499999896,16.3254704999998
Bełchatów,51.2964314999998,19.2777109999998
Dobre Miasto,53.9870884999998,20.381755499999798
Krzepice,50.9703324999998,18.6948919999998
Susz,53.7113489999998,19.3289384999998
Czerwonak,52.4681994999998,16.9795274999998
Bąków,50.95696949999989,18.3113889999998
Warszawa Śródmieście,52.2283269999998,21.0030119999998
Węgrzyce Wielkie,50.0184564999998,20.103710999999798
Kołbiel,52.0460824999998,21.415066999999798
Recz,53.2705854999998,15.5522769999998
Rajgród,53.2631779999998,17.4499594999998
Łódź Fabryczna,51.7692649999998,19.4694809999998
Nowe Skalmierzyce,51.7120404999998,18.0000614999998
Jordanów,49.636765999999895,19.8310989999998
Raciąż,52.7790254999998,20.103225499999798
Braniewo,54.43436499999989,19.8683824999998
Pelplin,53.926210999999896,18.7062029999998
Dobrynka,51.9983459999998,23.4432599999998
Biały Bór,53.8905659999998,16.8554344999998
Psary,50.7341109999998,19.8176584999998
Kłomnice,50.9182559999998,19.3419899999998
Łowczówek Pleśna,49.9228379999998,20.952302999999798
Knyszyn,53.3223369999998,22.8497319999998
Pęgów,51.2484659999998,16.9261649999998
Pełkinie,50.0452814999998,22.614834499999798
Świlcza,50.0782049999999,21.9007344999998
Komorów,52.1481679999998,20.8113309999998
Warszawa Gdańska,52.2591474999998,20.9922199999998
Złotniki Kujawskie,52.902269499999896,18.1476819999998
Siemiatycze,52.3913744999998,22.944868999999798
Słomniki,50.248493999999894,20.0639784999998
Bierawa,50.2954974999998,18.255231499999798
Chełm,51.1408199999998,23.4899029999998
Chotyłów,51.996444499999896,23.3551684999998
Opacz,52.2018934999998,20.9019779999998
Dębska Kuźnia,50.664830499999894,18.1067414999998
Lubliniec,50.6743689999998,18.6893774999998
Katowice,50.2604919999998,19.0000089999998
Strykowo,52.243286999999796,16.613925499999798
Augustów,53.851046499999796,23.0309464999998
Skorków,50.8587569999999,20.2085224999998
Olsztyn Główny,53.7871009999998,20.5036069999998
Bełchów,52.0253124999998,20.032966499999798
Niedrzwica,51.1111284999998,22.3730884999998
Drogomyśl,49.886439499999895,18.7523979999998
Ptaszkowa,49.6020619999999,20.8839479999998
Iłowa Żagańska,51.5009404999998,15.1882579999998
Dąbrowa Białostocka,53.6466769999998,23.3659614999998
Mińsk Mazowiecki,52.1759204999998,21.5509514999998
Kamień Krajeński,53.52580449999989,17.5422734999998
Warszawa Praga,52.2784984999998,21.0214224999998
Chodecz,52.4633054999998,19.1056944999998
Kiekrz,52.4737129999998,16.7937174999998
Panki,50.8960209999998,18.7491354999998
Świętochłowice,50.2884054999998,18.9193199999998
Tolkmicko,54.3240924999998,19.5282774999998
Łapy,52.99103099999989,22.88553
Moszczenica,51.5015874999998,19.6996449999998
Świdwin,53.7823794999999,15.7733379999998
Poniec,51.7574109999998,16.850838999999798
Kętrzyn,54.0727819999998,21.3828534999998
Kosewo,53.83165149999989,21.3791349999998
Czaszyn,49.4598889999998,22.2205289999998
Dąbrowica,50.5428489999999,22.6610924999998
Twardogóra,51.3603369999998,17.4679379999998
Jezierzyce Słupskie,54.5040979999998,17.1220544999998
Trzebiszewo,52.6241344999998,15.4064364999998
Narewka,52.8676584999998,23.7356024999998
Paczyna,50.4136004999998,18.5697319999998
Kłodawa,52.2272814999998,18.8914589999998
Słupsk,54.4679299999998,17.0158644999998
Żarki,50.6227454999998,19.2733124999998
